Afghanistan,,,,,,,,,,,,,
Country / territory of residence,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Algeria,,,,,,,,,,,,,*
Argentina,,,,,,,,,,,,1,*
Australia,4358,6262,6943,7240,8037,8082,7908,4990,4933,5664,5518,4826,7192
Austria,679,1049,1270,1595,2482,2991,3664,4191,5387,6401,7359,8636,10158
Azerbaijan,172,243,257,171,148,90,104,108,125,149,718,706,576
Bangladesh,2,2,1,1,1,1,1,,,,,,
Belarus,368,454,478,459,534,517,491,454,436,408,417,424,409
Belgium,275,357,248,541,536,381,226,151,196,271,501,785,1267
Bolivia (Plurinational State of),,,,,,2,,,,,,,
Brazil,3,1,24,11,11,18,3,3,3,12,22,24,28
Bulgaria,786,1565,1733,1829,1908,1930,1967,1990,2012,2039,2048,2067,368
Cambodia,5,17,15,13,7,2,2,2,1,,,,
Canada,9115,11371,12957,14616,15242,15535,14419,3470,3147,3015,2727,2659,2609
Cayman Islands,,,,,,,,,,,,2,*
Chad,,,,14,,,,,,,1,1,*
Chile,,5,5,17,15,16,17,17,16,,12,12,12
China,1,1,8,8,7,7,7,7,,7,7,7,7
Colombia,,,,,,,,,,,,,*
Costa Rica,,,,,,,,2,2,2,2,2,*
Côte d'Ivoire,,5,5,7,7,7,14,14,16,17,,18,13
Croatia,,,,1,1,,,,1,3,5,16,19
Cuba,19,26,24,23,17,9,1,,,,,,
Cyprus,2,3,3,3,9,3,3,5,6,7,7,7,7
Czech Republic,192,199,216,240,247,241,237,242,226,222,224,224,241
Denmark,3525,4816,5766,6369,6437,6381,6306,5378,5214,5026,4467,3108,2515
Ecuador,70,28,29,29,29,29,32,74,79,105,114,114,113
Egypt,60,66,43,35,35,31,31,28,28,,,,*
Estonia,2,6,6,6,6,2,2,6,6,6,12,13,14
Ethiopia,3,3,3,3,4,1,1,1,1,1,1,1,*
Federal Republic of Yugoslavia,,13,7,,,,,,,,,,
Fiji,,,,,,,,,,,,3,*
Finland,351,661,932,1101,1342,1604,1883,517,578,656,807,948,1137
France,1190,1284,1256,1167,1220,1228,1238,1273,1345,1567,1790,2120,2590
Georgia,3,3,3,4,4,4,4,4,4,,3,,*
Germany,,,52289,46975,38576,31055,21879,24236,25108,30320,30404,30425,31746
Greece,131,154,137,135,145,153,171,174,178,148,96,208,343
"Hong Kong SAR, China",,,,,1,2,,,,1,6,7,7
Hungary,694,581,1319,1705,2497,2376,2357,2293,2110,1907,1767,1697,1131
Iceland,,,,,,,1,1,1,4,6,6,6
India,12760,11972,11371,10283,9761,9700,9472,9011,8441,8528,9094,9161,9633
Indonesia,34,44,148,79,45,13,65,49,29,220,259,476,890
Iran (Islamic Republic of),1482000,1482000,1104909,834699,952802,920248,914260,906071,935595,1022494,1027577,840451,824087
Iraq,,,,,,,,,,2,2,2,*
Ireland,30,41,41,38,58,77,99,106,127,149,157,170,181
Italy,66,149,183,186,242,302,473,1138,2315,3039,3665,4291,5058
Japan,41,58,62,61,61,56,55,56,56,57,54,40,34
Jordan,1,1,,,2,,,,1,5,15,15,12
Kazakhstan,2460,2353,2250,657,670,760,588,404,493,429,593,556,525
Kenya,,,,,,,,,,,,2,*
Kuwait,92,45,78,78,78,78,,5,,,,,
Kyrgyzstan,804,922,871,648,258,251,256,277,267,323,415,418,377
Latvia,,1,1,1,1,1,1,1,1,3,19,26,28
Lebanon,58,48,47,49,31,13,6,9,8,8,9,5,12
Libyan Arab Jamahiriya,,,,,,,,,,1,,,
Lithuania,36,79,84,89,94,96,96,97,97,100,108,114,136
Malaysia,55,77,36,18,26,51,55,68,62,248,430,341,349
Malta,,8,8,8,8,8,8,8,8,8,8,,
Mexico,10,9,7,2,1,,,1,1,1,2,3,*
Morocco,8,8,8,8,,,,,,,8,8,
Mozambique,,,,,1,1,1,1,1,1,1,1,*
Nepal,,,,,,,,,,2,2,2,*
Netherlands,23629,26024,26001,26433,25907,25086,21357,17296,13477,9383,6731,5697,6126
New Zealand,181,434,562,618,1142,1261,961,162,167,169,172,44,29
Norway,1098,1799,2275,3309,3693,4052,4084,2925,3418,4415,5396,5733,5984
Pakistan,2000000,2197821,1226569,1123647,1290408,1084208,1043984,886666,1780150,1739935,1899842,1701945,1637740
Panama,,,,,,,,,,,1,1,*
Papua New Guinea,,,,,,,,,,2,1,1,*
Philippines,6,,,,,,,,,,,1,*
Poland,51,64,65,70,90,87,79,76,68,67,76,68,72
Portugal,2,5,5,5,5,5,5,6,8,7,6,4,6
Qatar,,40,40,40,40,40,40,40,,,,,
Republic of Korea,1,1,1,1,1,2,2,2,2,2,7,9,10
Republic of Moldova,2,7,5,5,5,8,12,12,10,9,13,21,14
Romania,278,295,295,298,280,280,272,274,230,102,75,91,125
Russian Federation,521,491,1493,1541,1488,1294,1202,1315,2365,2079,1953,1687,1300
Saudi Arabia,107,149,149,107,,,,,,,,,
Serbia and Montenegro,,,,2,2,,,,,,,,
Singapore,,1,1,,,,,,,,,,
Slovakia,187,193,183,165,122,124,93,87,76,101,135,175,209
Slovenia,,,,,,1,1,2,2,5,6,8,18
South Africa,5,10,15,15,15,18,18,18,18,18,18,18,20
Spain,125,145,145,94,88,87,74,69,69,70,59,62,92
Sri Lanka,1,1,1,12,15,4,4,3,3,,,,5
Sweden,2318,2732,3185,3425,3903,4264,4278,2611,2946,3637,4150,6620,8454
Switzerland,1204,1446,1365,1598,1524,1595,1726,1609,1610,1683,1929,2127,2099
Syrian Arab Republic,172,407,428,425,360,229,299,226,517,963,1611,1791,1737
Tajikistan,15354,15336,3427,3304,1816,1006,917,1126,1790,2673,3126,3270,2196
Thailand,20,19,14,12,3,3,2,3,2,1,1,1,
The former Yugoslav Republic of Macedonia,1,1,1,1,1,1,1,1,,,,,
Turkey,44,106,103,83,64,76,75,212,347,1040,1491,2682,3517
Turkmenistan,1450,1515,1263,1224,1030,749,710,85,46,29,30,31,19
Ukraine,1685,1587,1572,1510,1290,1213,1189,1171,1156,1239,1339,1457,1480
United Arab Emirates,6,6,6,6,,,4,4,,3,4,1,*
United Kingdom of Great Britain and Northern Ireland,5675,15065,20305,21718,22494,22532,23069,23565,23079,23658,23406,14424,9845
United States of America,4322,7426,8932,9601,9778,8831,13242,2365,2102,1711,1364,1103,1017
Uzbekistan,8348,9569,5716,5470,5238,4740,1415,1047,809,546,304,211,173
Venezuela (Bolivarian Republic of),,,,,,,,,,,4,4,*
Zimbabwe,82,82,82,82,22,,,,,,,,
