Colombia,,,,,,,,,,,,,
Country / territory of residence,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Argentina,19,22,17,18,34,48,100,152,179,381,403,456,497
Australia,185,235,251,212,165,134,94,265,219,191,148,133,118
Austria,28,26,24,24,24,32,41,38,37,32,22,20,19
Belgium,82,62,40,19,44,62,54,37,29,32,33,39,39
Bolivia (Plurinational State of),3,3,3,13,13,20,45,67,97,110,127,148,168
Brazil,15,26,63,88,132,360,415,498,529,597,602,654,742
Canada,1077,2339,4051,6689,9441,13511,17378,11843,13080,14300,16054,17243,17563
Chile,27,51,72,99,189,416,725,948,1061,,884,924,942
Costa Rica,515,3085,7326,8266,8750,9470,9699,9739,9939,10199,10214,10297,10305
Cuba,,,3,3,3,10,10,,,3,3,4,*
Curacao,,,,,,,,,,,,,6
Denmark,31,8,8,8,11,11,15,8,8,8,7,,
Ecuador,1374,1614,3122,6248,8270,9851,11526,14251,100637,115745,120403,122587,122964
El Salvador,,13,18,16,6,3,3,3,3,3,3,3,*
Finland,,2,12,12,12,12,13,13,13,13,13,11,*
France,245,253,264,262,286,295,337,368,397,424,436,455,476
Germany,,,236,214,199,227,431,374,334,229,253,242,241
Guatemala,,2,2,2,1,2,2,1,,1,3,3,7
Honduras,,1,2,1,2,2,2,2,4,6,2,4,*
"Hong Kong SAR, China",,,1,1,,,,,,,,,
Hungary,,,,,,,1,1,1,1,1,1,*
Iceland,,,,,,24,24,,,,6,,
Ireland,,,,1,1,1,1,1,1,1,1,1,*
Israel,2,7,7,7,1,1,,,,,,1,*
Italy,23,69,103,114,120,148,322,388,399,411,426,387,373
Latvia,,,,,,,,,,,,1,*
Mexico,61,94,114,48,55,63,99,147,178,210,233,252,247
Netherlands,22,31,35,85,110,341,317,186,295,306,307,300,295
New Zealand,,5,21,25,30,31,26,33,33,34,36,32,17
Nicaragua,,,,,8,12,12,17,13,7,6,8,8
Norway,194,203,202,205,213,220,220,167,174,138,29,32,27
Panama,711,881,989,860,1022,1137,1248,1284,15303,15299,15432,15598,15723
Paraguay,,,,,3,4,4,8,14,18,31,40,40
Peru,4,4,5,24,66,118,152,195,232,275,307,308,413
Portugal,2,4,6,10,11,18,,19,37,51,63,71,76
Romania,,,,,,,,,,,,1,*
Spain,345,490,537,680,820,944,976,990,985,934,782,664,637
Sweden,622,605,563,572,619,918,1379,285,244,237,186,105,60
Switzerland,157,186,201,220,221,242,255,266,298,290,310,324,327
Trinidad and Tobago,,,,,,,,5,5,5,5,5,8
United Kingdom of Great Britain and Northern Ireland,870,915,1140,1317,1356,1397,1399,1368,1164,947,650,564,341
United States of America,2614,6663,11135,11590,14920,19967,24770,25261,26447,27003,25607,22004,17766
Uruguay,17,18,23,21,24,40,41,49,49,68,82,86,94
Venezuela (Bolivarian Republic of),34,21,21,21,199,358,660,843,201094,201244,201467,201941,203563
