Democratic Republic of the Congo,,,,,,,,,,,,,
Country / territory of residence,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Algeria,202,103,1,1,5,34,90,39,64,73,66,61,39
Angola,11821,11933,11930,13015,13510,13464,12615,11380,11900,13364,13648,13648,20740
Argentina,7,7,8,8,11,14,5,5,7,6,6,8,13
Australia,14,18,15,34,44,185,714,19,22,25,27,25,30
Austria,170,188,201,227,271,313,352,370,392,402,427,434,449
Azerbaijan,,,,,,,1,1,1,1,1,1,*
Belgium,2058,1432,1105,1000,878,866,884,1093,784,748,689,711,677
Benin,674,811,872,852,842,856,502,454,410,402,380,365,190
Botswana,8,11,46,47,38,161,227,230,102,111,116,160,194
Brazil,182,183,196,174,185,207,268,292,353,383,443,470,510
Bulgaria,25,26,30,31,25,31,31,31,31,31,33,33,*
Burkina Faso,39,28,28,30,43,49,50,53,55,51,42,46,46
Burundi,25847,26670,39762,40568,48424,20359,12623,23914,20757,24614,28957,35213,41349
Cambodia,,,,,,,4,2,1,1,1,,*
Cameroon,135,232,236,300,530,592,661,691,684,714,685,460,456
Canada,3142,4033,4387,4706,5069,5124,5212,5997,5687,5284,4725,4381,4211
Central African Republic,15325,10225,10798,6498,3447,3267,3027,1893,1536,20899,15300,13427,10662
Chad,186,267,196,1975,,,,,,,207,216,262
Chile,1,1,3,4,4,4,6,15,15,,1,2,5
China,3,4,3,2,2,3,3,3,,,,,
Colombia,,,,,,1,1,1,1,1,1,1,*
Comoros,,7,,,,,,,,,,,
Congo,97600,92778,83515,81004,58834,56380,46341,27605,13973,103213,124244,131648,89424
Costa Rica,,,,,,,,3,3,3,3,3,*
Côte d'Ivoire,87,140,150,181,192,207,204,131,138,137,166,157,152
Cuba,1,1,1,1,1,1,,,,,,,
Cyprus,,,,,1,8,8,8,8,8,12,12,12
Czech Republic,42,,,,,,,36,37,37,42,42,48
Denmark,115,103,142,149,285,364,603,114,96,89,90,85,71
Djibouti,2,1,,,,,,,,,1,,
Ecuador,5,1,1,1,2,2,2,,,,,,
Egypt,,9,10,8,15,14,20,25,26,29,24,32,43
Ethiopia,43,53,60,76,82,122,178,230,225,295,383,534,582
Fiji,,,,,,,,,,1,,1,*
Finland,138,140,147,132,133,137,168,122,143,155,176,190,193
France,4902,5542,6339,6757,7665,8537,8924,9329,9952,10841,11369,11931,12585
Gabon,20,21,42,72,83,90,76,78,78,79,77,79,79
Gambia,,,1,8,8,8,8,8,7,7,11,11,14
Germany,,,7370,7096,6668,6280,3563,4202,4418,6093,5587,5146,5206
Ghana,12,13,14,,,,20,23,17,24,23,24,27
Greece,20,22,22,23,22,27,42,42,35,35,28,26,27
Guinea,28,34,40,43,50,14,19,13,19,19,23,34,40
Guinea-Bissau,,,,,,2,2,3,3,3,33,6,6
Guyana,,,,,,,,,,,7,7,7
"Hong Kong SAR, China",,3,4,3,2,5,3,1,4,3,3,5,*
Hungary,16,20,21,21,35,41,37,36,30,27,21,17,15
Iceland,1,1,1,1,1,1,1,1,1,1,1,,
India,,,,,,,6,6,6,7,11,14,29
Indonesia,,,,3,3,7,8,8,7,10,5,4,*
Ireland,56,170,352,356,410,443,470,603,601,541,511,412,227
Israel,,6,5,5,103,109,105,125,90,83,75,201,208
Italy,214,296,332,380,414,459,496,504,479,482,455,404,406
Japan,,,,,,1,2,2,2,2,2,2,*
Jordan,1,,,,1,8,7,,,,,,
Kenya,251,1297,1134,1153,2367,2306,2385,2674,2927,3608,4879,5155,6244
Latvia,1,1,,1,1,1,1,1,1,1,1,1,*
Lebanon,,4,8,8,9,,,,,,,1,
Lesotho,,,,,,,,,,,,11,10
