Eritrea,,,,,,,,,,,,,
Country / territory of residence,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Afghanistan,,,,,,,,,,1,,,
Algeria,,,,,,,1,,,,,,
Angola,,,,,,1,4,4,4,5,6,6,6
Argentina,,,,,,,,,2,2,2,2,*
Australia,663,708,667,643,590,577,653,39,51,58,67,94,96
Austria,1,1,2,6,13,21,24,29,34,48,63,76,88
Bahrain,,,,,,,1,,,,,,
Belgium,,,,,,1,5,11,16,24,36,81,62
Benin,,,,,,,,,,,,,7
Bosnia and Herzegovina,,,,,,,,,,,,,*
Botswana,1,2,2,2,2,7,8,4,9,9,8,8,
Brazil,,,,,,1,6,6,6,10,20,21,21
Bulgaria,,5,7,7,7,7,7,9,9,9,10,10,*
Burkina Faso,5,5,5,5,5,5,,,,,,,
Cameroon,,,,,,,,,,2,,5,5
Canada,165,316,411,557,852,1197,1619,717,792,918,1136,1350,1547
Chad,,,,,,,,,,,,,35
China,,,,,,,3,5,1,1,1,1,
Colombia,,,,,,,,,,3,4,4,*
Costa Rica,,,,,,,,2,2,4,4,4,*
Côte d'Ivoire,,,,1,1,1,5,,,2,4,1,*
Croatia,,,,,,,,,,,,,*
Cuba,3,3,2,2,2,1,1,5,8,2,4,9,8
Cyprus,,,,,,,,,,,,2,*
Czech Republic,,,,,,,,,,2,1,1,12
Democratic Republic of the Congo,,,,,,,,,,,,,*
Denmark,31,24,28,39,54,56,55,15,18,21,29,39,46
Djibouti,,,6,6,86,83,64,88,150,293,236,290,292
Ecuador,,,,,,,,2,3,4,9,9,11
Egypt,,41,44,98,176,205,274,373,752,859,938,1036,1182
Ethiopia,3276,4212,5126,6754,8719,10700,13078,20753,21018,36164,44791,54896,63771
Federal Republic of Yugoslavia,,,1,,,,,,,,,,
Fiji,,,,,,,,,,,,,*
Finland,1,1,1,48,49,50,49,3,4,5,7,12,16
France,,17,20,22,31,63,104,162,222,369,663,1093,1316
Gambia,,1,1,,,,,,,,2,2,*
Germany,,,2553,2754,2974,2746,2276,2993,3480,4293,4519,4606,4836
Ghana,,,,,1,1,1,1,1,1,1,1,*
Greece,,2,2,2,2,4,4,5,5,5,5,5,7
Guinea-Bissau,,,,,,,,,,,1,,
"Hong Kong SAR, China",1,1,9,,2,,1,3,8,3,5,3,*
Hungary,1,,,,3,3,3,3,3,3,2,2,*
Iceland,,,,,,,1,1,2,4,5,5,5
India,,,1,,6,3,1,3,14,16,35,50,52
Iraq,572,573,,,,,,,,,,,
Ireland,3,7,7,8,21,48,55,85,105,118,121,119,119
Israel,,2,7,7,7,7,8,8,4426,11852,16997,31119,37347
Italy,16,40,94,177,785,2705,5021,7404,9033,10377,10856,11206,11345
Jordan,,,,1,1,1,,,,4,6,12,5
Kenya,113,546,431,379,461,612,663,675,779,1027,1225,1220,1436
Kuwait,,,,,,,,,,,5,5,5
Lebanon,,2,1,2,2,,,1,5,3,7,5,*
Lesotho,,,,,,,,,,,,2,*
Libya,,,,,,,,,,,,917,477
Libyan Arab Jamahiriya,,,,1,4,4,19,72,312,622,976,,
Liechtenstein,,,,,,,,,,,,4,14
Lithuania,,,,,,,,3,3,3,3,3,9
Malawi,,,4,4,4,4,4,1,1,1,,,
Malaysia,,,,,,1,2,5,4,4,6,6,7
Mali,,,,,,,,,5,5,5,,
Malta,,,7,30,30,260,519,729,990,1189,1270,1530,1681
Mexico,,3,3,3,10,,2,4,4,4,1,2,5
Morocco,8,8,8,8,,,1,1,1,2,5,5,*
Namibia,,,,,,,,,,1,1,1,*
Netherlands,118,146,204,250,332,494,690,777,917,1132,1423,1880,2103
New Zealand,81,63,63,126,120,96,98,6,7,8,8,8,8
Nigeria,,20,20,21,21,10,10,10,10,10,12,13,15
Norway,89,152,178,242,305,459,680,994,1700,3060,4668,5846,7129
Pakistan,,,,,,,,,1,,,,
Philippines,,,,,,,,1,1,1,1,1,*
Poland,,,1,1,1,1,1,2,2,2,2,15,14
Portugal,,,,,,,4,4,11,17,21,22,22
Republic of Korea,,,,1,1,1,1,1,1,1,1,1,*
Republic of Moldova,,,,1,1,2,2,2,1,,,,
Romania,,,,,,,3,3,3,3,3,4,17
Russian Federation,,,,,,,,,6,6,11,5,*
Rwanda,,3,,,,,1,2,2,1,1,1,*
Saudi Arabia,,,,6,58,253,416,403,382,379,379,379,379
Serbia and Montenegro,,,,1,1,1,,,,,,,
Slovakia,,,,,,,,,,,,,*
Slovenia,,,,,,,,,,,1,1,*
Somalia,,4,14,16,15,20,15,23,25,34,37,34,39
South Africa,,,,,1,19,24,45,44,246,415,415,660
Spain,1,2,4,4,4,5,5,14,15,16,16,20,33
Sudan,367735,324546,305294,108251,110927,116746,157220,160488,124785,113528,103798,100464,112283
Sweden,171,195,232,271,367,822,1051,1521,2165,3018,3921,5123,6414
Switzerland,364,285,201,200,215,268,628,1037,2471,3944,6859,9592,10981
Syrian Arab Republic,6,11,11,12,8,7,21,12,25,35,60,66,54
Thailand,,,,1,1,,,,,,,,
Tunisia,,,,,,,,,,,,567,130
Turkey,,,1,3,1,4,12,15,26,41,50,57,49
Uganda,27,3,3,10,12,4,6,139,796,3046,3490,3529,4630
Ukraine,2,2,,,,,,,,,,,7
United Arab Emirates,6,6,6,6,6,6,7,6,7,6,8,8,
United Kingdom of Great Britain and Northern Ireland,,,975,1748,2404,3617,4901,6427,7701,8829,9430,9851,9903
United States of America,807,1153,1380,1246,1277,1734,3201,2157,2396,2677,2816,3315,3512
Yemen,2566,75,71,86,101,122,206,415,603,767,918,842,1055
Zambia,,,,,,,,,,,3,7,9
Zimbabwe,18,43,51,52,44,,,15,13,9,8,8,9
