Haiti,,,,,,,,,,,,,
Country / territory of residence,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Angola,,,,,,,,,,1,1,1,*
Argentina,6,5,5,5,14,21,23,32,41,43,47,57,58
Australia,,,6,6,6,6,6,,,,,,
Belgium,16,9,6,6,5,5,6,9,8,8,6,6,*
Brazil,,,,1,2,2,1,2,1,3,3,3,*
Canada,439,511,392,413,460,632,783,1295,1410,1662,2906,4963,6798
Chile,,1,1,1,1,1,5,5,4,,1,1,*
Colombia,8,8,8,,,,,,,,,1,*
Costa Rica,,,,,,,,31,34,38,38,38,38
Cuba,1,1,1,1,1,1,1,1,1,1,1,1,*
Dominican Republic,472,,,,,,,,,,595,595,750
Ecuador,,1,1,6,12,14,14,14,14,18,22,24,27
France,1374,1407,1570,1661,1891,2237,2710,3004,3152,3312,3466,3619,3710
Germany,,,16,15,17,7,41,39,41,40,49,47,45
Greece,,2,,,,,,,,,,,
Guatemala,3,3,3,3,3,3,3,3,,,,,
Honduras,7,8,8,8,9,9,9,9,9,7,6,6,6
Italy,,,,,,,,,,,,8,8
Jamaica,9,,,,,,,,,19,19,19,19
Libyan Arab Jamahiriya,,,,,,,,,,1,,,
Mexico,14,14,11,8,7,19,32,70,126,175,182,191,173
Netherlands,4,4,3,3,3,2,2,2,2,2,2,2,*
Norway,,,,,,1,1,1,2,2,2,2,*
Panama,7,7,7,7,7,7,10,10,10,10,11,13,17
Peru,,,,,,,1,2,6,6,10,15,16
Spain,,1,4,4,4,4,4,4,8,13,17,18,20
Sweden,5,4,4,4,,,,,,,,1,*
Switzerland,4,5,4,,,,,,1,1,1,,*
Trinidad and Tobago,,,,,,,,5,6,6,5,2,
United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,,,,*
United States of America,5160,5251,5662,5389,6760,10560,17171,17728,18175,18733,18487,24013,26849
Venezuela (Bolivarian Republic of),32,6,6,6,6,11,14,14,15,15,15,15,15
