Iraq,,,,,,,,,,,,,
Country / territory of residence,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Afghanistan,,3,1,3,3,1,1,4,7,6,6,3,*
Albania,9,7,3,7,9,7,4,5,5,5,5,5,5
Algeria,5,9,6,6,6,4,4,7,1,3,15,15,15
Angola,1,1,1,1,1,1,1,1,1,2,2,2,*
Argentina,13,18,19,22,24,24,25,26,25,29,27,26,25
Armenia,2,4,6,34,127,218,459,718,837,870,888,923,943
Australia,10521,10504,11899,12157,11471,10859,11147,5851,5945,5663,3791,3085,2821
Austria,1902,1769,1151,1141,1429,1224,1179,1366,1972,2183,2320,2622,2863
Azerbaijan,19,30,43,29,24,19,3,29,55,37,23,27,12
Bahrain,,,,,,,,,48,139,165,199,289
Bangladesh,,,,,,,,,8,3,3,3,*
Belarus,1,1,1,1,6,1,1,1,1,1,1,1,*
Belgium,314,228,229,209,167,231,253,292,494,718,962,1329,1541
Benin,4,4,7,7,7,7,1,6,6,6,6,6,
Bolivia (Plurinational State of),,,4,15,15,15,15,16,16,16,16,16,16
Bosnia and Herzegovina,2,9,,,,,,,,,,,*
Brazil,72,73,75,65,75,93,110,159,167,197,202,207,214
Bulgaria,102,508,837,1066,1152,1171,1199,1475,1705,1904,1990,2109,1359
Cambodia,5,5,5,5,,,,,,,1,,
Cameroon,,,,,,,,,1,1,1,,
Canada,5798,6001,5737,5441,5402,4789,3990,1968,1865,1760,1730,1712,1745
Chile,5,9,5,10,10,10,10,10,10,,,2,*
China,1,2,2,3,2,5,5,42,23,34,17,18,23
Colombia,2,2,2,2,2,2,2,3,3,4,4,4,*
Costa Rica,,,,,,,,,,2,2,,
Croatia,,6,,,,,,,,,1,1,*
Cuba,2,5,6,5,1,2,2,3,3,1,,,
Cyprus,20,7,10,11,11,21,75,206,354,537,600,625,644
Czech Republic,68,67,75,83,86,86,88,102,108,166,173,173,159
Denmark,11808,12567,12530,11831,11500,10667,9902,8376,7102,5467,3962,1910,1165
Djibouti,1,1,,,,,,,,1,3,5,*
Dominican Republic,,,,,,,,,,,,,*
Ecuador,11,10,16,22,22,18,18,33,34,35,35,36,36
Egypt,48,36,36,33,39,35,43,10273,10091,6572,6772,6037,5703
Estonia,,,,,,,1,1,1,1,1,1,*
Ethiopia,2,2,5,6,6,,,,,,,,
Federal Republic of Yugoslavia,12,4,20,,,,,,,,,,
Finland,1860,1922,1460,1377,1569,1648,1679,992,1206,1627,2188,2508,2797
France,1578,1629,1597,1409,1408,1319,1318,1397,1656,2147,2366,2519,2620
Gambia,,2,2,,,,,,,,,,6
Georgia,,,,,,,,,3,5,5,5,20
Germany,,,72697,73489,68071,52922,36205,34731,38854,49033,50432,48976,49829
Greece,511,621,950,951,959,907,824,828,942,713,622,656,838
Haiti,,,,,,,,1,2,2,,,
"Hong Kong SAR, China",,4,2,,,,,,,,,,
Hungary,201,258,700,938,1294,1252,1235,1272,1243,1166,1091,998,563
Iceland,11,6,3,4,4,4,4,4,5,4,4,2,*
India,30,24,26,22,20,17,12,53,109,130,122,111,113
Indonesia,353,433,297,122,56,32,172,112,186,209,146,62,126
Iran (Islamic Republic of),386000,386000,201671,150196,93173,54000,54024,57414,44444,47924,45708,45937,44085
Ireland,74,134,185,178,232,257,338,532,642,688,650,595,534
Israel,7,6,13,13,4,5,1,1,,,,,
Italy,923,1138,1281,1282,1334,1354,1371,1503,1614,1843,1952,1853,1863
Japan,3,6,8,8,7,7,8,8,7,6,6,5,*
Jordan,919,942,1069,965,889,754,500000,500000,500000,450000,450000,450000,63037
Kazakhstan,16,6,6,,,,4,4,4,,,,
Kenya,,,,,,,,,,2,2,1,*
Kuwait,1200,304,419,417,418,422,49,131,30193,175,123,247,484
Kyrgyzstan,,,,,4,4,4,5,,,1,,
Latvia,1,1,1,1,1,1,1,2,2,3,3,3,*
Lebanon,1817,1828,1756,1476,1148,797,20000,50000,50000,50000,7630,8491,6516
Liberia,1,3,3,3,,3,3,3,3,3,3,3,*
Libya,,,,,,,,,,,,2736,2532
Libyan Arab Jamahiriya,29,55,43,43,43,43,34,1055,2217,2777,2885,,
Liechtenstein,,,,,,,,,,,,,*
Lithuania,6,8,8,9,9,9,9,11,12,14,14,14,17
"Macao SAR, China",,,,,,,,,,,,1,
Malaysia,2,11,26,19,31,27,51,148,327,450,498,545,475
Malta,25,25,57,70,130,110,100,87,68,63,58,56,24
Mauritania,,,,,,,4,48,50,50,51,30,30
Mexico,22,23,11,9,8,8,9,17,35,38,41,41,31
Montenegro,,,,,,,,,,,,,*
Morocco,25,21,23,24,9,9,10,112,135,157,168,149,147
Nepal,9,3,2,2,1,,7,1,2,3,3,3,*
Netherlands,25284,25978,26215,28640,27622,26618,21782,19234,15553,16844,17779,18255,18012
New Zealand,882,826,837,902,775,866,816,198,237,254,267,249,188
Niger,,,,6,6,6,6,6,6,6,6,6,6
Nigeria,,,,,,,,,,,,,*
Norway,8094,8151,7896,7820,8265,8459,8668,7744,7878,7253,6320,6257,5727
Oman,,,,,7,,,,,19,71,76,131
Pakistan,371,213,181,123,107,84,86,84,109,98,87,78,72
Paraguay,,,,,,1,1,1,1,6,6,6,6
Peru,4,4,4,10,11,13,13,27,26,16,16,12,9
Philippines,29,29,26,24,24,24,25,25,24,21,23,21,23
Poland,37,37,37,37,44,47,56,50,77,100,111,135,137
Portugal,3,3,4,4,4,4,4,5,5,6,6,7,6
Qatar,10,6,6,6,6,6,6,6,6,22,38,64,64
Republic of Korea,,,3,3,3,3,3,3,3,5,6,6,6
Republic of Moldova,8,1,,1,2,7,8,5,4,4,2,2,*
Romania,348,382,409,489,415,448,454,531,515,514,483,474,487
Russian Federation,,,,,,21,14,20,100,105,82,26,19
Saudi Arabia,5177,5091,5109,706,440,363,250,238,38,39,39,56,50
Serbia (and Kosovo: S/RES/1244 (1999)),,,,,,,62,86,60,44,32,32,18
Serbia and Montenegro,,,,17,21,18,,,,,,,
Singapore,,,,,,,,2,,,,,
Slovakia,40,41,41,43,33,34,14,48,79,89,92,93,95
Slovenia,1,1,1,5,4,4,4,4,5,5,5,3,*
Somalia,,1,2,1,,,1,,,,,,
South Africa,7,7,11,11,11,11,,1,1,5,5,5,5
Spain,326,331,338,257,265,242,245,240,269,265,263,250,248
Sri Lanka,12,13,22,14,12,16,16,11,12,7,,,
Sudan,,,,,,,,1,,,,2,15
Sweden,25570,25889,25698,23918,22028,21046,23852,30423,32120,31558,29013,27367,24741
Switzerland,2107,2575,3175,3307,3208,4065,5030,4850,3038,4612,4563,4355,4120
Syrian Arab Republic,1829,1677,1716,2435,14391,24874,700000,1500000,1100000,1050000,1000000,750000,471418
Tajikistan,1,1,1,1,4,3,4,3,4,5,4,4,*
Thailand,36,33,33,25,22,15,16,49,92,98,76,79,86
The former Yugoslav Republic of Macedonia,1,,,,,,,,,,,,
Togo,,,,,,,,,1,3,3,3,*
Tunisia,11,11,8,10,8,8,12,12,12,9,6,305,137
Turkey,642,585,376,267,125,126,141,3662,7481,6194,5277,7071,9478
Turkmenistan,13,2,2,2,1,,,,,,,,
Uganda,8,,,,,,,,,,,,
Ukraine,41,60,66,60,38,40,43,45,50,55,68,69,77
United Arab Emirates,25,23,25,25,3,4,3,73,126,210,432,570,548
