Mali,,,,,,,,,,,,,
Country / territory of residence,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Algeria,100,100,100,,,,,,,,,,
Argentina,10,10,10,21,22,19,19,19,16,14,14,14,16
Australia,,1,1,1,1,1,1,3,3,3,3,2,*
Austria,,,,,,,1,,1,1,1,1,5
Belgium,3,,,,,,,1,5,4,5,9,11
Brazil,1,1,1,1,1,1,1,1,2,3,3,3,*
Bulgaria,1,1,1,1,1,1,1,1,1,1,1,1,
Burkina Faso,8,3,3,3,3,3,3,3,3,3,3,3,38776
Canada,33,44,56,65,73,80,87,133,132,125,119,109,99
Central African Republic,20,20,20,20,,9,9,9,,,,,
Chad,,,,,,,,,,,,,*
Congo,,,,,,,,,,,1,1,*
Côte d'Ivoire,,1,1,1,1,1,1,,,,,,
Cyprus,,,,,,,,,,,,,*
Denmark,2,,,,,,,,,,,,
Ecuador,,,,,,,,1,1,2,2,2,*
Egypt,,,,,,,,,,,,,6
France,108,108,115,108,113,129,163,378,1049,2034,2614,3082,3428
Gabon,3,3,,,,,,,,,,,
Germany,,,151,164,180,134,43,42,43,72,75,66,86
Greece,,,,,,,,,,,,,*
Guinea,,,,,,,,,,,,,26
Italy,,,,,,2,9,44,75,110,114,136,2088
Lebanon,,,,,,,,,,,,,*
Malaysia,,,,,,,,,,,,,*
Malta,,,,1,1,1,1,1,2,6,6,8,8
Mauritania,,,,,,,,,,,1,1,54029
Netherlands,10,9,6,8,8,9,7,7,6,7,8,10,10
Niger,,,,,,,,,,,,,50204
Nigeria,,,,,,,,,,,1,1,9
South Africa,,1,1,1,1,,,,,,,,
Spain,,,,,,,,,,,1,1,*
Sweden,7,4,4,4,1,2,2,2,2,5,5,7,10
Switzerland,3,3,2,4,6,9,12,13,12,11,10,9,9
Togo,,,,,,,,,,,,,137
Tunisia,,,,,,,,,,,,3,6
Ukraine,2,2,2,2,2,2,2,2,2,2,2,2,*
United Kingdom of Great Britain and Northern Ireland,,,,1,3,4,4,4,10,10,10,12,13
United States of America,53,,57,55,65,113,228,330,393,513,664,812,949
Yemen,,,,,,,,,,,,,*
Zimbabwe,,,,,1,,,,,,,,
