Myanmar,,,,,,,,,,,,,
Country / territory of residence,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Australia,962,773,732,684,651,967,2558,433,455,489,444,514,534
Austria,,,,,,,,,6,6,7,11,16
Bangladesh,21556,22106,21967,19743,20402,21053,26268,27544,28337,228557,229226,229644,230674
Belgium,5,4,3,2,4,9,4,5,12,9,11,18,17
Cambodia,1,,,,,,4,6,5,9,10,9,21
Canada,391,350,271,440,538,613,1429,205,235,257,265,277,276
China,,,,,,1,1,,,,,,
Cuba,,,,,,1,1,,,,,,
Czech Republic,,,,,,,,10,36,57,100,100,127
Denmark,54,69,78,221,380,519,686,39,52,53,56,65,57
Egypt,,,,,2,2,2,2,2,2,2,2,*
Finland,94,101,103,106,107,180,388,13,13,14,14,14,16
France,58,65,74,86,93,105,117,127,144,163,171,174,193
Germany,,,368,420,453,331,487,607,729,756,799,819,813
Greece,,2,2,2,2,5,8,8,8,8,8,6,6
"Hong Kong SAR, China",,1,2,1,,1,1,1,,,,1,*
Hungary,,,,,,,,3,3,3,3,3,*
Iceland,,1,1,1,1,1,1,1,1,1,1,,
India,779,876,1043,940,1162,1471,1812,1812,1967,2952,4630,6621,7671
Indonesia,,,,2,,,19,23,17,154,49,85,222
Ireland,,,,,1,1,4,4,4,8,8,9,9
Israel,,,1,1,1,1,,,,,,1,*
Italy,2,2,2,2,2,1,1,1,6,10,16,17,17
Jamaica,,,,,,,,,,4,,,
Japan,72,117,128,136,145,240,269,371,746,1193,1467,1645,1732
Malaysia,5134,5151,5247,4152,9601,14208,21544,29417,33781,61412,76120,81146,84671
Malta,,,,,,,,,,,,1,*
Mexico,,,,,,5,14,8,8,9,1,5,
Micronesia (Federated States of),,,,,,,2,2,1,1,,,
Nepal,2,1,2,2,2,9,11,12,13,11,35,34,47
Netherlands,122,177,202,208,212,213,473,235,395,482,632,769,795
New Zealand,209,345,353,377,390,192,485,38,43,44,45,39,36
Norway,29,63,61,199,459,743,1223,52,55,72,132,161,160
Pakistan,22,22,23,25,26,25,25,26,28,19,9,9,23
Palau,,,,,,,,,,11,,,
Papua New Guinea,,,,,,,,,3,3,,,
Philippines,,,,,,1,6,3,4,4,2,2,*
Poland,1,1,1,1,2,2,2,2,2,1,1,1,*
Portugal,,,,,1,3,3,4,4,4,4,4,*
Republic of Korea,,,,3,5,9,21,30,57,101,119,128,156
Romania,,,,,,,,,,,44,44,45
Saudi Arabia,,,,,,,,,1,1,1,1,*
Singapore,,,,,1,1,1,7,7,5,5,1,*
South Africa,,,,,,,,1,1,1,1,1,*
Spain,5,5,5,6,5,2,1,1,1,1,1,2,*
Sri Lanka,,,,,,,,,55,56,55,54,
Sweden,43,38,35,31,156,569,867,39,40,46,46,50,49
Switzerland,6,5,4,2,2,8,12,18,20,34,35,37,46
Thailand,104569,110313,112238,118762,120814,116499,132241,124562,111555,104107,95718,88148,83317
Turkey,1,,,,,,,,,1,,,
United Kingdom of Great Britain and Northern Ireland,5,,,40,51,80,196,250,390,517,625,789,863
United States of America,3006,5268,5551,4789,5342,6793,11639,5334,5171,5021,4751,3164,2739
Yemen,,,,,,,,,,,1,1,*
