Somalia,,,,,,,,,,,,,
Country / territory of residence,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Algeria,14,8,4,4,4,4,4,4,4,5,3,4,*
Angola,3,4,4,6,6,10,10,27,33,35,37,215,215
Argentina,5,1,,,,,,,5,5,5,5,5
Armenia,2,2,2,,,,,,,,,,
Australia,2094,2059,1743,1130,941,864,797,142,86,84,74,77,66
Austria,54,55,60,81,93,146,266,456,630,830,1093,1473,1915
Azerbaijan,,,,3,4,,,,,,,,
Bangladesh,34,31,25,16,16,14,13,1,11,15,15,15,12
Belgium,263,187,160,163,119,108,111,94,89,98,117,247,288
Benin,2,2,2,1,1,1,1,1,1,4,4,4,
Botswana,433,461,575,583,599,543,547,137,514,488,478,516,445
Brazil,16,16,15,15,15,18,28,30,29,34,36,41,43
Bulgaria,16,30,46,68,100,115,119,120,126,129,129,132,93
Burkina Faso,1,,,,,,,,,,,,
Burundi,11,4,4,4,4,5,1,1,1,1,17,22,20
Cambodia,,,1,1,1,1,9,3,10,10,8,8,8
Cameroon,,,,,,,,,,,,,*
Canada,5159,5754,5545,5080,4894,4491,4507,7206,6209,5150,4149,3629,3459
Central African Republic,1,1,1,,,,,2,2,2,2,,
Chad,11,10,12,18,,,,,,,9,9,12
Chile,1,1,1,1,1,1,1,1,1,,2,2,*
China,19,15,15,15,1,9,9,9,3,4,8,22,48
Colombia,,,,,,,,1,1,11,11,11,11
Costa Rica,,,,,,,,6,7,9,9,15,15
Côte d'Ivoire,1,1,1,1,1,,,,,,,,
Croatia,,,,,,,,,1,,,,
Cuba,,,,,,,,,,1,,,
Cyprus,4,1,1,2,2,2,2,5,5,5,6,8,9
Czech Republic,7,7,1,1,1,1,8,18,19,27,21,21,30
Democratic Republic of the Congo,,,,,,,,,,,29,29,29
Denmark,9957,9478,9582,8591,7788,6648,5100,3359,2483,1987,1497,904,531
Djibouti,21698,21712,20251,25474,17331,9828,8642,5980,8522,11198,14216,19426,18289
Ecuador,1,1,1,1,2,5,6,6,6,7,7,7,7
Egypt,2610,1177,1639,3068,3809,3940,4317,5139,5600,6096,6172,6328,6250
Eritrea,1253,1743,2990,3261,3523,3620,3792,4228,4675,4561,4556,4472,3440
Estonia,,1,,,,,,1,1,1,1,1,*
Ethiopia,121096,67129,37532,28276,16470,15901,16576,25843,33625,58980,81247,185466,223031
Fiji,,,,,,,,,,1,1,1,*
Finland,2613,1147,978,946,949,1008,1042,1178,1219,1694,2226,2404,2571
France,589,543,563,543,567,587,612,650,686,835,1027,1303,1489
Gabon,2,2,1,1,2,1,1,3,5,5,4,4,*
Gambia,,4,7,8,8,8,8,8,4,,4,4,5
Germany,,,3881,3693,3423,2903,2165,2227,2190,2407,2620,3139,3634
Ghana,1,1,1,,1,1,1,,,17,17,19,21
Greece,,5,2,2,2,3,17,19,24,23,27,37,38
Guinea,,,,,,,,2,2,2,2,2,*
"Hong Kong SAR, China",,2,,,3,26,30,20,17,12,40,40,21
Hungary,33,40,73,98,148,155,181,210,313,397,421,406,431
Iceland,,,,,,,,,,,,5,5
India,84,68,68,66,27,104,130,221,489,655,747,766,739
Indonesia,12,12,10,13,8,10,22,26,37,44,63,69,160
Iran (Islamic Republic of),,,,,,1,,,,,,,
Iraq,313,313,,,,,,2,,,2,,*
Ireland,85,144,116,75,176,309,408,672,653,590,589,542,505
Israel,,,,,,,,,,,,,*
Italy,160,115,74,94,598,814,948,1701,5251,7747,7865,8497,9284
Japan,,,,,,,,1,2,2,2,2,*
Jordan,40,22,14,46,47,15,15,49,134,212,230,242,318
Kazakhstan,,,1,1,1,1,1,1,2,2,1,1,*
Kenya,137376,144349,155767,154272,153627,150459,173702,192420,259121,310280,351773,517666,512069
Kuwait,145,69,107,107,107,107,,,2000,3,17,42,121
Latvia,,,,,,,7,7,7,7,7,7,7
Lebanon,136,159,136,134,79,29,7,23,36,21,20,20,24
Liberia,,,1,1,1,1,1,1,1,1,1,1,*
Libya,,,,,,,,,,,,2213,165
Libyan Arab Jamahiriya,2891,2906,2899,2906,2938,2938,488,513,573,643,342,,
Liechtenstein,,,,,,,,,,,,5,23
Lithuania,1,22,22,22,22,22,22,22,22,22,22,22,22
Malawi,182,175,119,115,74,73,42,20,13,40,56,55,55
Malaysia,26,21,25,11,9,19,47,93,365,647,831,812,929
Malta,11,13,68,176,254,468,607,979,2085,3534,3605,4009,5041
Mauritania,,,,,,,,,,1,1,,
Mexico,36,48,20,,,,10,2,2,2,2,2,
Morocco,9,9,8,8,,,1,,3,3,3,8,7
Mozambique,9,9,9,11,21,10,12,15,21,24,27,32,89
Namibia,,,,2,,1,1,,,,,4,*
Nepal,,,,,2,4,52,56,75,89,72,73,50
Netherlands,19363,19543,15688,14046,11239,10715,8086,7919,8565,11068,13736,15715,16286
New Zealand,785,571,718,635,540,434,331,60,62,65,67,61,45
Nicaragua,1,1,3,3,5,5,4,3,3,,,2,
Niger,14,15,11,11,11,11,12,11,9,9,9,9,9
Nigeria,,,8,7,7,27,24,25,19,20,20,21,21
Norway,4335,4704,5062,5633,6242,6437,6632,7269,6977,7064,7342,7981,8870
Pakistan,434,418,394,309,301,255,244,354,491,528,537,536,517
Panama,,,,,,,,1,1,1,1,1,*
Papua New Guinea,,,,,,,,,,,,,5
Peru,,,,,,1,2,2,2,2,2,2,*
Philippines,17,10,8,6,6,5,5,5,5,5,4,4,5
Poland,176,186,189,190,198,157,135,64,63,65,55,51,48
Portugal,,,,,,,,,19,24,24,33,40
Qatar,15,15,,,,,,,,,5,8,8
Republic of Korea,,,2,2,2,2,2,2,2,2,3,3,*
Republic of Moldova,,,,1,1,1,1,1,1,1,1,1,*
Romania,378,383,388,397,99,109,111,120,109,107,89,85,94
Russian Federation,147,29,16,7,6,,,,16,7,20,5,*
Rwanda,,13,,,,14,11,6,5,9,8,8,*
Saudi Arabia,18,20,20,12,12,13,13,13,15,10,20,20,20
Senegal,7,7,7,7,7,5,3,3,3,3,3,3,*
Serbia (and Kosovo: S/RES/1244 (1999)),,,,,,,,,1,,1,1,*
Slovakia,13,13,14,13,14,14,2,11,12,22,37,80,161
Slovenia,,,,,1,1,1,1,1,1,5,12,20
