Sudan,,,,,,,,,,,,,
Origin / Returned from,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Algeria,,,,,,,,,,,,,*
Burundi,,,,1,1,1,,,,,2,4,*
Cameroon,,,,1,1,1,,,,,,,
Central African Republic,,,,,,,,2500,245,1582,3686,2168,2172
Chad,4400,,,5023,5023,5023,25023,45024,41202,41138,39578,31871,32220
Congo,,,,,,,,,,,,1,*
Democratic Republic of the Congo,41,41,38,1632,1632,1634,2733,2733,5447,19709,20980,5,15
Egypt,,,,,,,,,,,,1,*
Eritrea,367735,324546,305294,108251,110927,116746,157220,160488,124785,113528,103798,100464,112283
Ethiopia,34132,16120,14571,15251,14812,14633,11009,11416,8621,9170,9101,4421,4761
Gambia,,,,,,,,,,,,,*
Guinea,,,,,,,,,,,,1,*
Iraq,,,,,,,,1,,,,2,15
Jordan,,,3,3,3,3,,,,,,,
Kenya,,,,,,,,,,,1,2,*
Libya,,,,,,,,,,,,1,*
Palestinian,,,,,,,,,,,,4,*
Somalia,43,5,5,17,17,49,215,559,204,90,86,130,372
Syrian Arab Republic,,,1,1,1,1,,,,,,,
Tunisia,,,,,,,,1,,,,1,*
Uganda,8577,8497,8264,7983,7901,7895,,,,,952,220,219
United Republic of Tanzania,,,,,,,,,,,,1,*
Zimbabwe,,,,,,,,,,,,,*
Various,,,,,1270,1270,,,1101,1075,124,118,116
