Syrian Arab Republic,,,,,,,,,,,,,
Country / territory of residence,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Afghanistan,,,,,,,,,,,,,*
Algeria,4,8,4,3,3,3,3,3,,,,,
Argentina,,,,,,,,,,,,,40
Armenia,,,,,,,,,,,,6,136
Australia,61,73,72,71,103,124,123,78,74,80,68,84,204
Austria,85,79,61,61,75,122,167,255,333,385,505,903,1675
Azerbaijan,1,1,1,1,2,1,1,1,,,,1,*
Belgium,102,47,31,19,80,115,100,114,152,177,229,312,355
Benin,1,1,1,1,1,1,1,1,1,1,1,1,*
Bosnia and Herzegovina,,,,1,1,1,1,1,1,1,1,1,5
Brazil,5,5,5,5,5,5,5,5,5,5,5,6,42
Bulgaria,11,58,61,65,72,78,79,85,86,90,95,98,97
Cameroon,,,,,,,,,,,,,*
Canada,390,427,432,424,459,397,415,624,603,577,545,547,533
Chad,,,,,,,,,,,1,3,*
Colombia,,,,,,,,,,,,,*
Côte d'Ivoire,3,3,3,3,3,3,3,,,,,,
Croatia,,,,,,,,,,,,,12
Cuba,6,,,,,,,,,,,,11
Cyprus,4,4,7,13,26,42,50,65,70,95,125,137,139
Czech Republic,,7,10,14,14,13,14,15,16,15,23,23,54
Denmark,219,169,180,172,177,188,213,218,272,392,750,1197,1903
Dominican Republic,,,,,,,,,,,,,7
Ecuador,15,2,,,,1,1,10,10,10,9,11,11
Egypt,,2,2,6,1,2,4,4,9,9,8,9,12836
Federal Republic of Yugoslavia,1,,,,,,,,,,,,
Finland,26,32,25,34,40,39,42,46,50,52,59,86,218
France,148,192,207,191,205,213,216,217,233,244,280,351,640
Georgia,,,,,,,,,,,,,141
Germany,,,14398,15745,16184,10469,5845,6996,8205,10217,10518,10155,18165
Greece,30,41,55,55,50,49,50,47,39,19,16,10,20
Hungary,8,9,10,17,29,44,46,42,44,43,39,42,86
Iceland,1,1,1,1,1,1,1,1,1,1,1,1,*
India,,,,,,,,4,,,,,6
Indonesia,,,1,1,2,1,1,1,,,,,5
Iraq,49,101,100,643,489,627,663,590,534,757,254,323,63586
Ireland,2,9,13,15,21,27,29,34,36,34,34,27,38
Israel,4,,,,1,2,2,2,1,,,,
Italy,24,22,36,35,41,47,62,84,110,190,211,262,445
Jordan,2,2,5,28,37,40,42,41,44,138,198,193,238798
Kazakhstan,3,1,,,,,,,,,,,
Kuwait,,,,,,,,,,,4,10,15
Kyrgyzstan,,,,,6,,,4,4,4,11,9,7
Latvia,,,,,,,,,,,,4,17
Lebanon,,,,,,,6,29,84,90,64,124,126939
Libyan Arab Jamahiriya,,,,,,,,2,,,,,
Lithuania,,,,,,,,3,3,3,3,4,5
Malaysia,,,,,,,,3,,,,4,*
Malta,1,1,4,7,10,8,11,11,11,18,33,80,191
Mexico,,,,,,,,,,,,,*
Morocco,9,9,9,9,3,3,2,2,,,,,
Netherlands,1618,1518,1454,1479,1588,1674,1559,1421,1326,1254,1186,1064,1449
New Zealand,42,42,35,39,49,37,38,30,33,35,36,35,41
Norway,113,105,92,93,132,144,146,149,154,152,186,171,565
Oman,,,,,,7,7,7,7,7,7,7,7
Pakistan,,,,7,8,8,8,8,8,8,8,8,11
Peru,3,3,2,1,,,,,,,,,
Poland,14,16,16,16,4,6,7,8,8,8,8,10,17
Qatar,6,6,,,,,,,7,7,8,8,8
Republic of Moldova,,,,,,8,17,11,12,10,10,11,55
Romania,14,16,16,21,21,24,28,29,25,19,21,20,152
Russian Federation,,,,,,,,1,2,4,5,4,53
Saudi Arabia,6,6,,1,5,5,5,5,14,14,14,14,14
Slovakia,2,2,,,,,,13,14,20,22,23,24
Slovenia,,,,,,,,,,,,,*
South Africa,,,,,,,,,,,,,*
Spain,18,20,20,15,21,21,21,21,34,33,35,32,32
Sri Lanka,,,,,,,,,,,,1,*
Sudan,,,1,1,1,1,,,,,,,
Sweden,2028,1268,970,1048,940,1032,1065,1081,1084,1118,1169,1206,6051
Switzerland,137,157,180,178,179,294,388,430,626,661,694,1074,1391
Syrian Arab Republic,,,,,,,1,,,,,,
Thailand,,,,,,1,1,2,1,,,,10
Togo,,,,,,,,,,,,1,*
Tunisia,5,5,5,5,5,5,5,5,5,5,5,11,6
Turkey,1,6,6,3,,12,2,5,12,8,9,19,248466
Ukraine,36,44,45,42,40,39,37,36,39,42,42,43,63
United Arab Emirates,43,39,18,18,34,34,71,30,21,21,34,37,16
United Kingdom of Great Britain and Northern Ireland,,,,16,44,208,286,364,395,460,499,693,1717
United States of America,560,297,291,182,197,150,423,344,320,341,312,373,1425
Uzbekistan,,,,,,,,1,1,,,,
Yemen,10,13,13,14,25,25,25,32,32,40,52,42,42
